Feature,Importance
Digital_x_Training,0.11000219958126253
conf_B2,0.09211734233827827
train_E7,0.07485061031416783
train_E3,0.073592566834902
train_E4,0.06998151825308827
conf_B6,0.06818920856305229
res_D6,0.06096942017659258
train_E2,0.0539225111614666
train_E6,0.05048578231265123
digi_C1d,0.04720716006048956
res_D5,0.04472406634954768
digi_C1c,0.0443371924673274
train_E5,0.04221878248896484
res_D1,0.041400045705212565
res_D2,0.0384263791433358
res_D4,0.033872989313545786
res_D3,0.02996873205660473
digi_C2e,0.023348611533364698
training_attended_binary,0.0003848813461453365
