Feature,Coefficient
train_E4,0.16216367104249937
train_E3,0.1652097791304686
train_E7,0.15746797797352943
train_E6,0.14251837691261035
train_E2,0.16729357402741488
train_E5,0.2071218726202062
Digital_x_Training,-0.0
res_D6,0.16430266436870064
training_attended_binary,0.006545826183543101
res_D5,0.18784021301361487
res_D4,0.14245018100822615
digi_C1d,0.29831081771860013
res_D3,0.20416284178061492
res_D1,0.16500676534704975
res_D2,0.15075342035700362
digi_C1c,0.3082460544762789
digi_C2e,0.25392319383337236
conf_B2,0.4595992095835136
conf_B6,0.45010908766328594
