Feature,Coefficient,Std Error,t-value,p-value,CI_lower,CI_upper
Intercept,0.565736410765949,0.06005402814310038,9.420457349136981,2.6199491123435205e-20,,
train_E4,0.16080347395162925,0.01936526390499698,8.303706819618181,2.982492736064449e-16,,
train_E3,0.1639705203277737,0.019766602265773956,8.295331596350785,3.186854961297985e-16,,
train_E7,0.1573681096586993,0.02024342083848831,7.7737903546173,1.7641900038954456e-14,,
train_E6,0.1408048161586018,0.01916834242202493,7.345695994913642,4.019004771521737e-13,,
train_E2,0.16672911799160606,0.019222735956789857,8.673537334455972,1.510125254945487e-17,,
train_E5,0.20649312308413706,0.020036374942043814,10.305912306064766,8.007931846022321e-24,,
Digital_x_Training,-0.0024128626314845678,0.019764451068936637,-0.12208093324063081,0.9028575703788102,,
res_D6,0.16512228397181727,0.017318687223414352,9.534341826358341,9.56615926413014e-21,,
training_attended_binary,0.033313575541581264,0.03666580441821936,0.90857342611656,0.3637774756774681,,
res_D5,0.18848253742528479,0.01746534759207845,10.791799958838068,7.365746158953053e-26,,
res_D4,0.14283099566164914,0.017550410567806592,8.138327881835975,1.0922827366261987e-15,,
digi_C1d,0.29804832817416926,0.015693328076446644,18.992040867449624,1.2006710800298166e-69,,
res_D3,0.2042918574755406,0.01731106729890108,11.801228309505168,2.5328739423916606e-30,,
res_D1,0.16551531926531932,0.01780436482954309,9.296333840041116,7.766548360255165e-20,,
res_D2,0.15150291392474396,0.01730706139264683,8.753820795314928,7.788626926736233e-18,,
digi_C1c,0.30836767463533954,0.015223531556730537,20.25598813824548,1.2997912100808412e-77,,
digi_C2e,0.25704358246306425,0.01594392282704741,16.121727711013083,1.4235597193101812e-52,,
conf_B2,0.46125101202342705,0.016805904603377806,27.445771168469,2.5531291484361882e-126,,
conf_B6,0.45220185433580595,0.01714050818222252,26.382056443624723,7.362302882083742e-119,,
